Wall time,Step,Value
1574755673.3350854,10001,-20.090909957885742
1574755691.524622,20001,-20.095237731933594
1574755709.1111379,30001,-20.21875
1574755724.5431855,40001,-20.255813598632812
1574755740.8870375,50001,-20.226415634155273
1574755782.8092294,60001,-20.234375
1574755822.8888297,70001,-20.239999771118164
1574755862.5501473,80001,-20.26744270324707
1574755902.4104204,90001,-20.257732391357422
1574755942.666403,100001,-20.270000457763672
1574755983.059382,110001,-20.270000457763672
1574756025.2624278,120001,-20.190000534057617
1574756066.0400198,130001,-20.15999984741211
1574756105.7943413,140001,-20.170000076293945
1574756145.8190444,150001,-20.190000534057617
1574756185.7480536,160001,-20.239999771118164
1574756225.8216488,170001,-20.170000076293945
1574756266.1430206,180001,-20.100000381469727
1574756306.4029877,190001,-20.079999923706055
1574756346.9207406,200001,-20.1200008392334
1574756389.4289827,210001,-20.200000762939453
1574756431.0700507,220001,-20.219999313354492
1574756472.624703,230001,-20.190000534057617
1574756514.3138728,240001,-20.139999389648438
1574756556.2617545,250001,-20.06999969482422
1574756598.2819145,260001,-20.06999969482422
1574756640.2659776,270001,-20.18000030517578
1574756682.5526192,280001,-20.229999542236328
1574756724.2484276,290001,-20.149999618530273
1574756766.0858228,300001,-20.18000030517578
1574756808.0668464,310001,-20.149999618530273
1574756850.270362,320001,-20.18000030517578
1574756893.5575876,330001,-20.149999618530273
1574756936.0966938,340001,-20.149999618530273
1574756978.8380203,350001,-20.190000534057617
1574757021.2705672,360001,-20.209999084472656
1574757064.161577,370001,-20.18000030517578
1574757107.6429558,380001,-20.15999984741211
1574757150.9559145,390001,-20.139999389648438
1574757194.0993345,400001,-20.040000915527344
1574757237.5087442,410001,-19.989999771118164
1574757281.0743313,420001,-20.010000228881836
1574757324.5338473,430001,-19.959999084472656
1574757367.8935947,440001,-19.979999542236328
1574757411.6003697,450001,-19.989999771118164
1574757455.5789247,460001,-19.920000076293945
1574757499.6323247,470001,-19.709999084472656
1574757543.7511015,480001,-19.639999389648438
1574757587.396931,490001,-19.56999969482422
1574757632.836593,500001,-19.56999969482422
1574757677.273668,510001,-19.559999465942383
1574757721.4944465,520001,-19.530000686645508
1574757765.4513316,530001,-19.520000457763672
1574757809.2945914,540001,-19.40999984741211
1574757853.0642147,550001,-19.260000228881836
1574757896.9193406,560001,-19.229999542236328
1574757940.5793452,570001,-19.059999465942383
1574757984.8191352,580001,-18.959999084472656
1574758029.2289302,590001,-18.809999465942383
1574758073.4777808,600001,-18.790000915527344
1574758117.8869278,610001,-18.649999618530273
1574758162.359058,620001,-18.510000228881836
1574758206.8443153,630001,-18.420000076293945
1574758251.4761653,640001,-18.239999771118164
1574758296.4071043,650001,-18.030000686645508
1574758341.2362473,660001,-17.860000610351562
1574758386.367194,670001,-17.670000076293945
1574758431.190022,680001,-17.43000030517578
1574758476.0999644,690001,-17.329999923706055
1574758521.0031917,700001,-17.229999542236328
1574758566.2878847,710001,-17.020000457763672
1574758611.7805424,720001,-16.760000228881836
1574758657.34131,730001,-16.65999984741211
1574758702.852362,740001,-16.520000457763672
1574758748.299076,750001,-16.350000381469727
1574758794.5615947,760001,-16.329999923706055
1574758841.4072769,770001,-16.280000686645508
1574758887.9105172,780001,-16.100000381469727
1574758934.5528424,790001,-16.030000686645508
1574758981.0812454,800001,-15.770000457763672
1574759027.8302,810001,-15.529999732971191
1574759074.8112864,820001,-15.4399995803833
1574759122.011106,830001,-15.390000343322754
1574759168.7316277,840001,-15.25
1574759215.953807,850001,-15.220000267028809
1574759263.2655377,860001,-15.109999656677246
1574759310.7337792,870001,-15.0
1574759360.6877525,880001,-14.979999542236328
1574759408.5798345,890001,-14.920000076293945
1574759456.4794343,900001,-14.869999885559082
1574759503.806397,910001,-14.6899995803833
1574759552.1193943,920001,-14.5
1574759599.6720839,930001,-14.359999656677246
1574759647.0988142,940001,-14.270000457763672
1574759695.0502036,950001,-14.020000457763672
1574759745.7408755,960001,-13.800000190734863
1574759793.2952454,970001,-13.75
1574759841.3756127,980001,-13.520000457763672
1574759889.7773597,990001,-13.449999809265137
1574759937.6952887,1000001,-13.199999809265137
1574759985.5908394,1010001,-13.199999809265137
1574760033.4829843,1020001,-13.0
1574760081.4114673,1030001,-12.899999618530273
1574760129.1917267,1040001,-12.720000267028809
1574760177.2224362,1050001,-12.859999656677246
1574760225.0943172,1060001,-12.6899995803833
1574760273.1133094,1070001,-12.5600004196167
1574760320.8445601,1080001,-12.470000267028809
1574760369.0423527,1090001,-12.279999732971191
1574760416.9669378,1100001,-12.170000076293945
1574760465.0919986,1110001,-12.130000114440918
1574760512.5979743,1120001,-12.079999923706055
1574760560.4886773,1130001,-11.829999923706055
1574760608.497171,1140001,-11.649999618530273
1574760656.1002047,1150001,-11.460000038146973
1574760704.0978737,1160001,-11.489999771118164
1574760751.8904636,1170001,-11.350000381469727
1574760800.0260901,1180001,-11.149999618530273
1574760848.1170382,1190001,-11.029999732971191
1574760896.3393607,1200001,-10.8100004196167
1574760944.4110603,1210001,-10.789999961853027
1574760992.3887086,1220001,-10.680000305175781
1574761040.5229537,1230001,-10.65999984741211
1574761088.3463438,1240001,-10.350000381469727
1574761135.6845102,1250001,-10.359999656677246
1574761183.6037896,1260001,-10.270000457763672
1574761231.5231583,1270001,-10.289999961853027
1574761279.6006298,1280001,-10.149999618530273
1574761327.379136,1290001,-9.779999732971191
1574761375.310389,1300001,-9.680000305175781
1574761423.3069553,1310001,-9.569999694824219
1574761470.9281523,1320001,-9.380000114440918
1574761518.3671458,1330001,-9.229999542236328
1574761566.452836,1340001,-9.039999961853027
1574761614.3763976,1350001,-9.039999961853027
1574761662.339635,1360001,-8.859999656677246
1574761710.4018795,1370001,-8.640000343322754
1574761758.1720338,1380001,-8.510000228881836
1574761805.9683125,1390001,-8.430000305175781
1574761853.6533082,1400001,-8.140000343322754
1574761901.5252998,1410001,-7.840000152587891
1574761949.4877183,1420001,-7.630000114440918
1574761997.2789142,1430001,-7.489999771118164
1574762045.0176609,1440001,-7.389999866485596
1574762092.8115687,1450001,-7.170000076293945
1574762140.5406308,1460001,-7.019999980926514
1574762188.4391468,1470001,-6.710000038146973
1574762236.392589,1480001,-6.440000057220459
1574762284.2111788,1490001,-6.260000228881836
1574762332.3036213,1500001,-6.079999923706055
1574762379.9495232,1510001,-6.010000228881836
1574762427.9155705,1520001,-6.0
1574762475.5440168,1530001,-5.849999904632568
1574762523.0782433,1540001,-5.659999847412109
1574762570.9698799,1550001,-5.570000171661377
1574762618.8145466,1560001,-5.420000076293945
1574762666.4842336,1570001,-5.269999980926514
1574762714.5149071,1580001,-5.070000171661377
1574762762.0459127,1590001,-4.889999866485596
1574762809.8286269,1600001,-4.75
1574762857.79104,1610001,-4.559999942779541
1574762905.6076088,1620001,-4.53000020980835
1574762953.2172985,1630001,-4.440000057220459
1574763001.0003772,1640001,-4.210000038146973
1574763048.408749,1650001,-4.309999942779541
