Wall time,Step,Value
1574808183.6739676,10001,-20.090909957885742
1574808196.6857812,20001,-20.095237731933594
1574808210.5654953,30001,-20.21875
1574808223.0686617,40001,-20.255813598632812
1574808235.5137448,50001,-20.226415634155273
1574808268.9542623,60001,-20.21875
1574808300.9268029,70001,-20.293333053588867
1574808332.4692292,80001,-20.279069900512695
1574808363.9579837,90001,-20.288660049438477
1574808395.6136606,100001,-20.280000686645508
1574808427.486074,110001,-20.290000915527344
1574808460.4235768,120001,-20.260000228881836
1574808492.2675486,130001,-20.219999313354492
1574808524.4584837,140001,-20.190000534057617
1574808556.6335683,150001,-20.200000762939453
1574808588.7570806,160001,-20.209999084472656
1574808621.754758,170001,-20.15999984741211
1574808654.069328,180001,-20.170000076293945
1574808686.218153,190001,-20.18000030517578
1574808719.2831867,200001,-20.200000762939453
1574808752.2672334,210001,-20.200000762939453
1574808784.9137237,220001,-20.229999542236328
1574808817.833927,230001,-20.239999771118164
1574808850.8066542,240001,-20.299999237060547
1574808883.8477712,250001,-20.260000228881836
1574808916.776902,260001,-20.260000228881836
1574808949.8123999,270001,-20.280000686645508
1574808983.1805146,280001,-20.260000228881836
1574809016.6533887,290001,-20.280000686645508
1574809050.0018964,300001,-20.280000686645508
1574809083.6996713,310001,-20.219999313354492
1574809118.5279968,320001,-20.219999313354492
1574809152.2627378,330001,-20.25
1574809186.1504288,340001,-20.260000228881836
1574809220.2296727,350001,-20.290000915527344
1574809253.6946952,360001,-20.270000457763672
1574809287.0121932,370001,-20.270000457763672
1574809320.3456688,380001,-20.309999465942383
1574809353.7467802,390001,-20.290000915527344
1574809387.238977,400001,-20.299999237060547
1574809420.55485,410001,-20.309999465942383
1574809454.3245585,420001,-20.270000457763672
1574809487.9094281,430001,-20.270000457763672
1574809521.8621523,440001,-20.139999389648438
1574809555.8232112,450001,-20.110000610351562
1574809589.4580731,460001,-20.0
1574809623.8264573,470001,-19.959999084472656
1574809657.9044456,480001,-19.889999389648438
1574809693.530336,490001,-19.790000915527344
1574809728.3007164,500001,-19.700000762939453
1574809763.276853,510001,-19.600000381469727
1574809798.3268304,520001,-19.559999465942383
1574809833.6990466,530001,-19.459999084472656
1574809868.8697736,540001,-19.299999237060547
1574809904.263811,550001,-19.219999313354492
1574809939.7869627,560001,-19.1299991607666
1574809975.3242228,570001,-18.959999084472656
1574810011.0831268,580001,-19.020000457763672
1574810046.689483,590001,-18.920000076293945
1574810082.4187756,600001,-18.8799991607666
1574810118.3868551,610001,-18.860000610351562
1574810154.2083771,620001,-18.799999237060547
1574810190.4274879,630001,-18.75
1574810226.6751573,640001,-18.610000610351562
1574810262.8524127,650001,-18.450000762939453
1574810299.0815954,660001,-18.3799991607666
1574810335.764063,670001,-18.309999465942383
1574810372.4953427,680001,-18.200000762939453
1574810409.3179066,690001,-18.18000030517578
1574810446.0822124,700001,-18.110000610351562
1574810482.9890816,710001,-18.030000686645508
1574810519.7063565,720001,-18.010000228881836
1574810556.7148314,730001,-17.790000915527344
1574810593.7576332,740001,-17.670000076293945
1574810631.0291274,750001,-17.459999084472656
1574810668.4296796,760001,-17.229999542236328
1574810705.8661096,770001,-17.079999923706055
1574810743.294264,780001,-16.889999389648438
1574810780.8597128,790001,-16.739999771118164
1574810818.4454863,800001,-16.649999618530273
1574810856.1812253,810001,-16.579999923706055
1574810896.7336981,820001,-16.469999313354492
1574810934.89099,830001,-16.389999389648438
1574810973.3068562,840001,-16.229999542236328
1574811011.6688907,850001,-16.110000610351562
1574811049.5812683,860001,-16.010000228881836
1574811088.277072,870001,-15.869999885559082
1574811127.3221183,880001,-15.75
1574811166.201179,890001,-15.59000015258789
1574811205.3061037,900001,-15.529999732971191
1574811244.5313077,910001,-15.350000381469727
1574811283.6545577,920001,-15.180000305175781
1574811323.3544216,930001,-14.979999542236328
1574811362.763322,940001,-14.729999542236328
1574811401.921745,950001,-14.710000038146973
1574811441.455573,960001,-14.5600004196167
1574811481.2651567,970001,-14.539999961853027
1574811521.5049086,980001,-14.239999771118164
1574811561.846134,990001,-14.119999885559082
1574811601.2494276,1000001,-13.970000267028809
1574811640.67556,1010001,-13.960000038146973
1574811680.0162761,1020001,-13.970000267028809
1574811719.1325173,1030001,-13.84000015258789
1574811757.9945295,1040001,-13.5600004196167
1574811797.0726182,1050001,-13.34000015258789
1574811836.1616523,1060001,-13.350000381469727
1574811875.3828297,1070001,-13.289999961853027
1574811914.5288498,1080001,-13.319999694824219
1574811953.7022789,1090001,-13.170000076293945
